content,sentiment
Download lama banget loh,0
drivers food nya pada g jelas,0
"Sistem gojek makin kesini makin kacau !!!! Kasian drivernya, aplikasi tanpa rasa kemanusiaan !!!",0
akurat,1
Mo transfer di suruh upgrade Giliran upgrade gagal mulu Ga jelas banget,0
"Tolong perbaiki, setelah update bukan baik malah aneh-aneh, masa belum tekan untuk memesan, nih aplikasi malah mesan sendiri dan gojek yang datang malah dua akibat aplikasi lucu ini mesen sendiri, sekarang yang rugi siapa ? Aku kan, karna udah kepotong. TOLONG PERBAIKI KEMBALI !!!.",0
ok baik,1
Gojek Oke,1
Bagus sekali cepat,1
Tetap semangat ✊,0
memang oke,1
Ok,1
Oke,1
ok,1
Produk indonesia harus didukung,1
"Aplikasi sangat bagus sekali bisa buat pesan mobil, motor, makanan, dan bisa melakukan pembayaran dan pembelian pulsa dan paket data",1
Gopay pinjam di tolak aja...padahal driver gojek juga butuh...kenapa sulit sih? Kan jelas kalo dicek akun nya sama dengan akun go partner,1
Bingung mau makan enak di mana? Cari di gofood dan dapatkan berbagai menu terbaru. Nikmat banyak diskon.,1
Sangat membantu,1
"Wahai para costumer, tahukan anda, bahwa driver food cuma di bayar 5.000 Rupiah sama aplikator. Sedangkan kalian bayar sampai 15rb ke aplikasi. Bagaimana nasih driver. Coba bayangkan. Padahal aplikator udah untung banyak, untung dari driver 20%, untung dari costumer biaya layanan, untung dari merchant, 20%. Management Gojek yg sekarang RAKUS.",0
Bagus,1
ok,1
"Kurangin dulu bintangnya ada paylater gabisa dipake sama sekali padahal limit full gaada tagihan, aplikasi suka lag kalau dibuka 😬",1
"Error' terus, kayaknya mau nyoba pindah ke grab",0
Kaga menguntungkan.,0
Orang nya baik,1
saat ini merasa puas. good lanjutkan,1
"Aplikasinya sangat bermanfaat, memudahkan mobilitas, dan harganya bersaing... mantap ni aplikasinya",1
Tolong dong itu gofood disurvei toko banyak yang udah ga jualan tapi masih ada di list trus masih terima pesenan mending diilangin dari list,0
gudd boy,1
Aplikasi gojek sekarang sering crash. Gak jelas. Tiba tiba Hp nge hang. Padahal Hp Ram 8,0
Cepat respon Drive gojek nya,1
"gaperna ribet semenjak pake gopay, jadi lebih praktis",1
Penjual pelayanannya buruk pesen apa yg dateng apa,0
