"content","sentiment"
"download lama banget loh","0"
"driver food nya g jelas","0"
"sistem gojek makin kesini makin kacau kasi drivernya aplikasi rasa manusia","0"
"akurat","1"
"mo transfer suruh upgrade gilir upgrade gagal mulu ga jelas banget","0"
"baik update bukan baik malah anehaneh masa tekan me nih aplikasi malah mesan sendiri gojek datang malah akibat aplikasi lucu mesen sendiri sekarang rugi siapa aku kan karna udah potong baik","0"
"baik","1"
"gojek oke","1"
"bagus sekali cepat","1"
"tetap semangat","0"
"memang oke","1"
"ok","1"
"oke","1"
"ok","1"
"produk indonesia dukung","1"
"aplikasi sangat bagus sekali buat pesan mobil motor makan laku bayar beli pulsa paket data","1"
"gopay pinjam tolak ajapadahal driver gojek butuhkenapa sulit sih kan jelas kalo cek akun nya sama akun go partner","1"
"bingung mau makan enak mana cari gofood dapat bagai menu baru nikmat banyak diskon","1"
"sangat bantu","1"
"wahai costumer tahu driver food cuma bayar rupiah sama aplikator kalian bayar rb aplikasi bagaimana nasih driver coba bayang padahal aplikator udah untung banyak untung driver untung costumer biaya layan untung merchant management gojek yg sekarang rakus","0"
"bagus","1"
"ok","1"
"rangin dulu bintang paylater gabisa dipake sama sekali padahal limit full gaada tagih aplikasi suka lag kalau buka","1"
"error terus kayak mau nyoba pindah grab","0"
"kaga untung","0"
"orang nya baik","1"
"rasa puas good lanjut","1"
"aplikasi sangat manfaat mudah mobilitas harga saing mantap ni aplikasi","1"
"dong gofood survei toko banyak udah ga jual list trus terima sen mending diilangin list","0"
"gudd boy","1"
"aplikasi gojek sekarang sering crash gak jelas tiba tiba hp nge hang padahal hp ram","0"
"cepat respon drive gojek nya","1"
"gaperna ribet semenjak pake gopay jadi lebih praktis","1"
"jual layan buruk sen apa yg dateng apa","0"
"update malah apli sering ngelag pesan driver jadi lama map ga akurat driver sering reject panggil udah gitu harga jadi makin mahal banding apli transportasi padahal jarak tempuh dekat","0"
"mantaps","1"
"ongkir gofood mahal banget","1"
