userName,score,at,content
Namanya Ayang,1,2023-11-08 10:38:23,Download lama banget loh
Rezki Awan,2,2023-11-08 10:36:18,drivers food nya pada g jelas
Bayu Langit,1,2023-11-08 10:32:41,"Sistem gojek makin kesini makin kacau !!!! Kasian drivernya, aplikasi tanpa rasa kemanusiaan !!!"
Imong Fadhlurrahman,5,2023-11-08 10:32:12,akurat
Efi Juhaefi,1,2023-11-08 10:20:53,Mo transfer di suruh upgrade Giliran upgrade gagal mulu Ga jelas banget
Seneca Lydia,1,2023-11-08 10:13:04,"Tolong perbaiki, setelah update bukan baik malah aneh-aneh, masa belum tekan untuk memesan, nih aplikasi malah mesan sendiri dan gojek yang datang malah dua akibat aplikasi lucu ini mesen sendiri, sekarang yang rugi siapa ? Aku kan, karna udah kepotong. TOLONG PERBAIKI KEMBALI !!!."
BayBay Channel,5,2023-11-08 09:50:39,ok baik
Andus Heryawan,5,2023-11-08 09:49:55,Gojek Oke
Vernolita Ayu,5,2023-11-08 09:33:47,Bagus sekali cepat
Musliadi,2,2023-11-08 09:30:19,Tetap semangat ✊
andjar busono,5,2023-11-08 09:27:40,memang oke
Marvin Andrea,5,2023-11-08 09:27:20,Ok
Calibar Mode,5,2023-11-08 09:20:25,Oke
Ipah Olshop,5,2023-11-08 08:58:39,ok
N u r i,5,2023-11-08 08:54:53,Produk indonesia harus didukung
Tono Priyono,5,2023-11-08 08:50:31,"Aplikasi sangat bagus sekali bisa buat pesan mobil, motor, makanan, dan bisa melakukan pembayaran dan pembelian pulsa dan paket data"
Riswandi,5,2023-11-08 08:32:40,Gopay pinjam di tolak aja...padahal driver gojek juga butuh...kenapa sulit sih? Kan jelas kalo dicek akun nya sama dengan akun go partner
Akbar saputra,5,2023-11-08 08:26:06,Bingung mau makan enak di mana? Cari di gofood dan dapatkan berbagai menu terbaru. Nikmat banyak diskon.
Anti Anti,5,2023-11-08 08:13:05,Sangat membantu
Yt Musik,1,2023-11-08 08:12:10,"Wahai para costumer, tahukan anda, bahwa driver food cuma di bayar 5.000 Rupiah sama aplikator. Sedangkan kalian bayar sampai 15rb ke aplikasi. Bagaimana nasih driver. Coba bayangkan. Padahal aplikator udah untung banyak, untung dari driver 20%, untung dari costumer biaya layanan, untung dari merchant, 20%. Management Gojek yg sekarang RAKUS."
Mulyo Adi Nugroho,4,2023-11-08 08:11:01,Bagus
Tatang Rustandi,5,2023-11-08 08:10:11,ok
Aditya Wijaya,3,2023-11-08 08:06:43,"Kurangin dulu bintangnya ada paylater gabisa dipake sama sekali padahal limit full gaada tagihan, aplikasi suka lag kalau dibuka 😬"
Magnum Opus,1,2023-11-08 08:04:45,"Error' terus, kayaknya mau nyoba pindah ke grab"
Hendri Naufal,1,2023-11-08 08:03:39,Kaga menguntungkan.
Galih Gustiana,5,2023-11-08 08:00:30,Orang nya baik
hermawan awan,5,2023-11-08 07:57:25,saat ini merasa puas. good lanjutkan
Ari Ezwindra Rohul,5,2023-11-08 07:54:30,"Aplikasinya sangat bermanfaat, memudahkan mobilitas, dan harganya bersaing... mantap ni aplikasinya"
Aryaputrayulianto 38,1,2023-11-08 07:49:21,Tolong dong itu gofood disurvei toko banyak yang udah ga jualan tapi masih ada di list trus masih terima pesenan mending diilangin dari list
Said Warkop Channel,5,2023-11-08 07:25:31,gudd boy
Syam Yoga Orlando,2,2023-11-08 07:20:49,Aplikasi gojek sekarang sering crash. Gak jelas. Tiba tiba Hp nge hang. Padahal Hp Ram 8
Wahyudi Wahyudi,5,2023-11-08 07:17:32,Cepat respon Drive gojek nya
Galang Ngibrit,5,2023-11-08 07:11:18,"gaperna ribet semenjak pake gopay, jadi lebih praktis"
06_077_Nur Aulia Putri,1,2023-11-08 07:09:31,Penjual pelayanannya buruk pesen apa yg dateng apa
Haryadi Suntoro,1,2023-11-08 07:08:19,"Di update, malah apli sering ngelag.. pesanan driver juga jadi lama dan map ga akurat.. driver sering reject panggilan .. udah gitu harganya jadi makin mahal dibanding apli transportasi lain padahal jarak tempuh dekat .."
Yoga Gunawanto,5,2023-11-08 07:07:10,Mantaps
Ratna Wulandari,3,2023-11-08 07:04:53,ongkir gofood mahal banget😭😭😭😭😭😭
Winda wulan sari,3,2023-11-08 07:04:29,"Gojek versi terbaru bagian gofood jd aneh. Dulu bisa kata kuncinya dari makanan. Sekarang hanya bisa pilihan resto. Kan jd sulit nemuin nya. Misal kita search lumpia. Dulu bs ketemu by food aj. Skr search lumpia yg nongol cm resto lumpia, resto lain yg jg jual lumpia tp cm side dish ga nongol. Search by foodnya ud ga ada. Balikin aja kaya dlu. Lbh gampang klo mw cari makanan, skr terbatas bgt. Hrs hapal nama restonya dlu. Aneh"
sskrnw.t,3,2023-11-08 06:53:08,"Kenapa sekarang SERING tidak menanggapi/force close?? Di device/hp baru loh ini, kan kemungkinan bukan faktor devicenya to.. Titik alamat yg disimpan juga nggeser sendiri. Udah diedit alamat pun, selesai disimpan tetep balik nggeser lagi.. padahal apk nya dulu nggak gini deh. Segera perbaiki ya 🫰🏻"
